1.5m humi,1.5m temp,5cm earth,radio,all_product
99,21,23.6,,29055.3
88,21,21.9,,2065
95,23.8,24.9,8.3,135
96,24.8,26.5,,858
93,23.7,25.5,13.59,67.2
98,22.2,24.2,9.3,21878.6
92,21.5,22.5,7.2,1842
97,23.5,24,13.77,224
96,23,24.7,,9.5
97,23.7,26.9,7.56,517.5
92,24.1,25,14.71,24776
88,23.4,23.8,8.82,1977.2
92,25,25.1,,100
93,25.9,26.5,8.55,916.5
78,26.3,24.8,6.42,33399.6
80,24.9,23.3,2.94,3138.4
80,26.4,24.4,13.79,24
92,23.8,25.3,6.24,145
88,24.8,24.5,5.99,270
90,25.8,26.4,6.33,1037.85
92,24.5,25.5,8.6,607
90,24.3,27.1,8.59,150
93,23.7,25.4,13.21,38615.5
84,23.9,24.9,15.98,4252.9
91,24.4,24.4,13.75,52
89,25.5,25.1,9.97,679
99,24.1,27,7.71,1128.6
88,25,26.2,19.19,965.2
98,22.3,24.9,7.76,33037.7
91,24.8,25,,33.5
,,,,3063.2
94,24.9,24.7,13.76,16
86,26.9,27.4,16.57,1077.25
87,25.5,27,14.24,631.5
82,22.1,24.4,16.17,24074.7
91,23.5,25,,64
,,,,2708.1
85,24.2,24.3,13.75,52
94,25.1,27.2,10.33,1236.95
85,22.6,26.5,5.64,100.9
71,20.4,23.2,10.74,9974
74,19.9,21.8,6.36,1679.3
84,20.7,22.6,13.79,8
86,23.7,26.8,15.82,1929
75,20.8,23.9,25.97,9140.9
74,23.7,25.3,,40
76,20.2,23.1,19.79,2851.2
71,24.3,24.4,13.37,28
83,24,25.6,15.99,110
83,24.4,26.9,19.25,566
79,21.6,26.3,23.93,1576.9
75,19.3,22.5,25.19,24125.5
68,19.7,21.9,18.06,4099.3
58,22.9,22.9,13.5,1200
73,22.4,25.4,22.47,839.6
76,19.9,25.1,23.21,437.1
71,19.5,23.2,28.16,20666.9
60,20.4,23.8,,34
68,17.7,22,21.71,4030.8
75,20.5,25.2,22.08,1371.35
77,18.2,24,23.12,1684.8
75,16.9,22,24.26,20569.7
73,15.2,19.5,16.83,3538.8
60,18.9,22,,40
79,18.8,23.2,21.43,731.5
78,19,23.7,13.7,204.4
61,19.7,21.7,,70
80,17.1,20.9,12.68,17365.1
75,16.7,18.9,8.55,2757.4
83,19.9,23.2,7.5,1014
78,18.3,20.9,,80
